reporting_jurisdiction,partner_jurisdiction,year,admin_support,dormant,regulated_finance,holding_equity,internal_group_finance,insurance,ip_management,manufacturing,other_activity,purchasing,research_development,sales_marketing,services_unrelated,tangible_assets,num_mne_groups,accumulated_earnings,num_employees,num_entities,profit_before_tax,adjusted_profit_before_tax,related_party_revenues,stated_capital,num_subgroups,income_tax_accrued,income_tax_paid,total_revenues,unrelated_party_revenues,profit_positive_panel,profit_negative_panel
LUX,SEN,2018,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,2.0,45007146.91,7.0,-45789876.59,752.0,12.0,-3135088.581,,6468603.226,16148306.79,7.0,1506657.603,1446444.187,100136380.0,93667776.8,4109789.373,-7244877.954
LUX,SEN,2019,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,8.0,5.0,47025505.0,10.0,1043247.0,1388.0,14.0,2968904.0,,10236491.0,13719277.0,10.0,1826671.0,1428937.0,49603140.0,39366648.0,4716091.0,-1747187.0
LUX,SEN,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,4.0,13462797.37,10.0,147018.413,1575.0,13.0,2984440.688,,9982288.915,3762820.423,10.0,271163.473,639848.256,41461640.93,31479352.02,4301504.532,-1317063.844
LUX,SEN,2021,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,8.0,66227479.0,9.0,30840685.0,1353.0,15.0,30368367.0,,14839165.0,22999776.0,9.0,3878852.0,3813901.0,113173340.0,98334176.0,30903441.0,-535074.0
LUX,SGP,2016,26.0,9.0,0.0,24.0,4.0,1.0,3.0,11.0,34.0,6.0,1.0,67.0,13.0,679552655.3,48.0,-894582609.1,3999.0,161.0,259709352.4,,4923476369.0,1960026463.0,48.0,-12023232.78,-18156725.41,31778046208.0,26854569838.0,370458625.9,-110749273.4
LUX,SGP,2017,28.0,10.0,0.0,26.0,6.0,1.0,5.0,10.0,28.0,9.0,3.0,54.0,24.0,948942941.0,52.0,-622103972.0,67734.0,152.0,672345679.0,,6632681395.0,5172786125.0,52.0,1424257.0,-273306.0,46042204009.0,39409522613.0,795424283.0,-123078604.0
LUX,SGP,2018,30.0,6.0,0.0,33.0,6.0,1.0,4.0,10.0,24.0,10.0,5.0,63.0,24.0,1456116438.0,58.0,-282057411.2,6665.0,151.0,450310450.4,,8740305348.0,6831026468.0,58.0,9682045.432,911400.38,58571020596.0,49830715248.0,625135868.1,-174825417.7
LUX,SGP,2019,28.0,10.0,0.0,31.0,7.0,3.0,5.0,9.0,42.0,7.0,5.0,66.0,22.0,1124841228.0,59.0,-844161666.0,8114.0,160.0,799962794.0,,8933904213.0,726736481.0,59.0,13666053.0,-547398.0,58680071935.0,49746167722.0,878986294.0,-79023500.0
LUX,SGP,2020,39.0,8.0,0.0,32.0,9.0,3.0,5.0,8.0,43.0,8.0,3.0,68.0,26.0,1329918652.0,62.0,-1911891356.0,7999.0,178.0,823585583.7,,9353245664.0,-80595028.92,62.0,-1108276.298,-14269025.44,42652331940.0,33299086276.0,1083720565.0,-260134981.4
LUX,SGP,2021,37.0,11.0,0.0,30.0,7.0,1.0,5.0,9.0,42.0,10.0,5.0,61.0,31.0,1423878667.0,62.0,-1934872860.0,8434.0,180.0,918449772.0,,22935531332.0,363449666.0,62.0,-12169323.0,-3821655.0,84547702002.0,61612170671.0,1126414838.0,-207965066.0
